# name gender1 accuracy1 samples1 gender2 accuracy2 samples2
Edward	male	99	24073	male	  100	1015
Edwin	male	99	18517	male	  100	819
Efthimios	male	99	67	male	  100	1
Eftyhia	female	100	5	None	nan	nan
Eiichi	male	98	100	None	nan	nan
Eilat	female	57	7	None	nan	nan
Eileen	female	99	5020	female	  100	571
Eirini	female	98	979	female	   98	45
Elaine	female	98	15147	female	  100	1142
Eldar	male	99	786	male	  100	13
Eleanor	female	98	2290	female	  100	263
Elena	female	98	74807	female	  100	1645
Eleonora	female	99	10967	female	  100	209
Eli	female	61	13642	male	   52	561
Elia	male	61	4091	female	   76	87
Eliahu	male	100	18	None	nan	nan
Elina	female	95	3738	female	  100	172
Elinor	female	94	365	female	  100	37
Elio	male	99	4210	male	  100	58
Eliot	male	97	973	male	   96	25
Elisa	female	98	32786	female	   99	805
Elisabeth	female	98	17296	female	  100	570
Elise	female	97	9916	female	  100	442
Elisha	female	56	1630	female	   94	103
Eliza	female	98	6013	female	   99	263
Elizabeth	female	99	44677	female	  100	3508
Ellen	female	99	12944	female	  100	942
Elliott	male	97	1796	male	   99	179
Ellis	male	63	1428	male	   63	73
Ellyn	female	99	181	female	  100	16
Eloisa	female	97	1507	female	  100	33
Eloise	female	98	1911	female	  100	55
Elwyn	male	95	65	male	   63	8
Emanuele	male	97	17607	male	  100	241
Emerson	male	98	5754	male	   99	102
Emiliano	male	99	6393	male	   99	156
Emily	female	98	36641	female	  100	3765
Emmanuel	male	99	43639	male	  100	761
Emory	male	77	171	male	   71	7
Emrah	male	97	31014	male	   99	299
Emre	male	97	69710	male	   99	800
Enectali	None	nan	nan	None	nan	nan
Ennio	male	99	1219	male	  100	12
Enrique	male	99	19657	male	   99	725
Er-Ho	male	83	3625	None	nan	nan
Eric	male	99	121922	male	  100	4110
Erica	female	98	19226	female	  100	1281
Erich	male	98	2690	male	  100	72
Erick	male	99	15004	male	  100	470
Erik	male	96	31753	male	   99	1072
Erika	female	98	39357	female	   99	1544
Erin	female	96	16296	female	   99	2097
Erling	male	98	324	male	  100	30
Erlvada	None	nan	nan	None	nan	nan
Ernest	male	99	8319	male	   99	147
Ernst	male	98	2265	male	  100	25
Erol	male	97	15136	male	  100	184
Erotokritos	male	90	21	None	nan	nan
Errol	male	99	989	male	  100	42
Ersin	male	97	13791	male	   98	188
Ertugrul	male	96	2041	male	  100	11
Erwan	male	98	4046	male	   99	89
Esam-Al-Deen	male	91	17548	None	nan	nan
Esko	male	98	329	male	  100	13
Esmail	male	96	652	male	  100	15
