n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
101 | Vallinotto, Alberto | The University of Chicago | 2006 | male | 2 | 6 | 2013 | 5 | 18 | 2015 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 2 | 3 | 2 | 4 | 2 | 3 | 1 | 0 | 1 | 0 |
102 | Bogdanovic, Tamara | The Pennsylvania State University | 2006 | female | 1 | 0 | 2006 | 3 | 26 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 1 | 2 | 3 | 3 | 3 | 2 | 3 |
103 | Chen, Jacqueline | The University of Chicago | 2006 | female | 21 | 30 | 2015 | 60 | 85 | 2017 | 2 | 2 | 3 | 2 | 5 | 7 | 5 | 7 | 4 | 4 | 4 | 2 | 2 | 1 | 1 | 0 |  5 | 3 | 7 | 7 | 17 | 21 | 8 | 12 | 12 | 11 | 10 | 7 | 9 | 2 | 5 | 4 |
104 | Kilic, Mukremin | The University of Texas at Austin | 2006 | male | 8 | 30 | 2017 | 16 | 86 | 2017 | 0 | 0 | 0 | 2 | 2 | 4 | 4 | 3 | 4 | 5 | 3 | 3 | 2 | 2 | 2 | 1 |  0 | 0 | 4 | 3 | 4 | 5 | 6 | 8 | 6 | 7 | 8 | 12 | 8 | 8 | 8 | 10 |
105 | Martinis, Carlos R. | Boston University, Massachusetts, USA | 2006 | male | 5 | 8 | 2016 | 7 | 25 | 2016 | 1 | 0 | 2 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 1 | 1 |  1 | 0 | 2 | 1 | 1 | 2 | 1 | 1 | 3 | 1 | 1 | 1 | 3 | 2 | 6 | 6 |
106 | Krastev, Plamen | University of Idaho | 2006 | male | 5 | 3 | 2008 | 7 | 9 | 2010 | 0 | 1 | 0 | 0 | 1 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 1 | 0 | 0 | 1 | 3 | 2 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
107 | Lundquist, Loraine Louise | University of California, Berkeley, California, USA | 2006 | female | 1 | 2 | 2008 | 1 | 11 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 8 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
108 | Busca, Nicolas G. | The University of Chicago | 2006 | male | 2 | 3 | 2013 | 8 | 51 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 4 | 3 | 4 | 8 | 4 | 7 | 8 | 3 | 7 | 4 | 5 | 1 |
109 | Crawford, Steven Michael | The University of Wisconsin - Madison, Wisconsin, USA | 2006 | male | 2 | 5 | 2016 | 7 | 35 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 |  0 | 0 | 1 | 0 | 3 | 3 | 0 | 2 | 2 | 4 | 2 | 1 | 6 | 1 | 8 | 1 |
110 | Archer, David Michael | University of Nevada, Las Vegas | 2006 | male | 3 | 1 | 2009 | 5 | 7 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 1 | 3 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 |
