n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
43 | Byington, Benjamin M. | University of California, Santa Cruz | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
44 | Lee, I. -Jen | University of Illinois at Urbana-Champaign | 2013 | None | 3 | 0 | 2013 | 9 | 0 | 2013 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 1 | 4 | 1 | 1 | 1 | 0 | 0 | 0 |
45 | Barentine, John Caleb | The University of Texas at Austin | 2013 | male | 3 | 0 | 2018 | 18 | 2 | 2018 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  11 | 1 | 2 | 0 | 3 | 1 | 2 | 0 | 0 |
46 | Perera, Benetge Bhakthi Pranama | West Virginia University | 2013 | None | 4 | 5 | 2018 | 4 | 10 | 2018 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 1 |  0 | 0 | 1 | 0 | 1 | 2 | 2 | 3 | 3 |
47 | Frank, K. A. | Purdue University | 2013 | None | 2 | 2 | 2016 | 3 | 4 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 2 | 2 |
48 | Reifenberger, George C. | Florida Atlantic University | 2013 | male | 2 | 0 | 2013 | 5 | 1 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 0 |
49 | Missel, Jonathan William | Texas A&amp;M University | 2013 | male | 2 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |
50 | Liang, Yung-Ching | University of Southern California | 2013 | None | 3 | 2 | 2017 | 19 | 6 | 2018 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 |  6 | 3 | 6 | 1 | 1 | 2 | 1 | 2 | 0 |
51 | West, Christopher | University of Minnesota | 2013 | male | 3 | 1 | 2015 | 7 | 6 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 1 | 4 | 2 | 1 | 2 |
52 | Snyder, Gregory Frantz | Harvard University | 2013 | male | 5 | 3 | 2017 | 12 | 19 | 2018 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 2 | 0 |  1 | 0 | 0 | 3 | 4 | 4 | 2 | 8 | 4 |
53 | Wegg, Christopher | California Institute of Technology | 2013 | male | 5 | 3 | 2017 | 5 | 15 | 2018 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 1 | 2 | 2 | 1 | 5 | 4 |
54 | Lanz, Lauranne | Harvard University | 2013 | female | 6 | 3 | 2016 | 7 | 22 | 2018 | 0 | 0 | 2 | 1 | 0 | 3 | 1 | 1 | 1 |  0 | 1 | 2 | 1 | 0 | 3 | 3 | 6 | 9 |
