n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
233 | Radomski, James Thomas | UNIVERSITY OF FLORIDA | 2003 | male | 3 | 1 | 2008 | 8 | 22 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 3 | 4 | 0 | 4 | 3 | 5 | 3 | 2 | 0 | 1 | 1 | 0 | 2 | 0 | 1 |
234 | Hoffman, Mark Brian | The University of Chicago | 2003 | male | 3 | 1 | 2014 | 5 | 17 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 2 | 0 | 1 | 3 | 4 | 2 | 2 | 0 | 1 | 1 | 0 |
235 | Markowitz, Alex Gary | University of California, Los Angeles | 2003 | male | 4 | 14 | 2014 | 10 | 65 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 2 | 2 | 2 | 1 | 3 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 3 | 3 | 4 | 2 | 3 | 4 | 10 | 4 | 6 | 5 | 8 | 4 | 2 | 7 | 4 | 5 |
236 | Mihaylov, Ivaylo | The University of Toledo | 2003 | male | 1 | 0 | 2003 | 1 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
237 | Mainzer, Amanda Kathryn | University of California, Los Angeles | 2003 | female | 2 | 17 | 2017 | 2 | 68 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 6 | 3 | 0 | 2 | 2 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 1 | 2 | 3 | 2 | 19 | 14 | 5 | 4 | 9 | 3 |
238 | Jacobs, Michael Lee | University of Minnesota | 2003 | male | 1 | 0 | 2003 | 1 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
239 | Turcan, Dusan | University of Maryland, College Park | 2003 | male | 2 | 0 | 2003 | 10 | 14 | 2008 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 3 | 0 | 5 | 5 | 1 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
240 | Parkinson, Pablo Miguel Saz | Stanford University | 2003 | male | 2 | 0 | 2003 | 4 | 27 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 0 | 2 | 0 | 1 | 2 | 12 | 3 | 3 | 1 | 1 | 1 | 1 | 0 |
241 | Ukhorskiy, Aleksandr Yulyevich | University of Maryland, College Park | 2003 | male | 3 | 16 | 2017 | 3 | 34 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 2 | 0 | 2 | 0 | 1 | 2 | 0 | 2 | 2 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 2 | 1 | 4 | 0 | 3 | 2 | 0 | 6 | 4 | 3 | 3 |
242 | Cyburt, Richard Henry | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 2003 | male | 7 | 18 | 2016 | 7 | 30 | 2017 | 0 | 0 | 0 | 1 | 2 | 4 | 3 | 4 | 1 | 0 | 2 | 1 | 2 | 0 | 2 | 1 | 0 | 0 | 2 |  0 | 0 | 0 | 1 | 2 | 4 | 4 | 4 | 2 | 0 | 2 | 1 | 2 | 4 | 3 | 1 | 3 | 1 | 2 |
