# name    |  phd_institution  | host_institution  | hubble_year | foo
  Michael Rauch    |    University of Cambridge - 1993    |    California Institute of Technology    |  1995  |
  Katherine Roth    |    Northwestern University - 1992    |    University of Hawaii    |  1995  |
  Ata Sarajedini    |    Yale University - 1992    |    Kitt Peak National Observatory  San Francisco State University of  |  1995  |
  Michael Vogeley    |    Harvard University - 1993    |    Space Telescope Science Institute  Princeton University |  1995  |
  Michael Brown    |    University of California, Berkeley    |    California Institute of Technology    |  1994  |
  Julianne Dalcanton    |    Princeton University    |    Observatories of the Carnegie Institute of Washington    |  1994  |
  Todd Henry    |    University of Arizona    |    Space Telescope Science Institute    |  1994  |
  John Hibbard    |    Columbia University    |    University of Hawaii    |  1994  |
  Lynne Hillenbrand    |    University of Massachusetts    |    University of California, Berkeley    |  1994  |
  Victoria Kaspi    |    Princeton University    |    Jet Propulsion Laboratory Massachusetts Institute of Technology  |   1994  |
  Limin Lu    |    University of Pittsburgh    |    California Institute of Technology    |  1994  |
  Suzanne Staggs    |    Princeton University    |    University of Chicago/Fermi Institute    |  1994  |
  Julie Thorburn    |    University of Chicago    |    University of Chicago/Yerkes Observatory    |  1994  |
  Roeland van der Marel    |    Leiden    |    Princeton, Institute for Advanced Study    |  1994  |
  Guy Worthey    |    University of California, Santa Cruz    |    University of Michigan    |  1994  |
  J. Christopher Clemens    |    University of Texas    |    Iowa State University    |  1993  |
  Constantine Deliyannis    |    Yale University    |    Yale University     |  1993  |
  Henry Ferguson    |    The Johns Hopkins University    |    Space Telescope Science Institute    |  1993  |
  Thomas Herbig    |    California Institute of Technology    |    Princeton University     |  1993  |
  Buell Jannuzi    |    University of Arizona    |    Princeton, Institute for Advanced Study    |  1993  |
  Jeremy King    |    University of Hawaii    |    University of Texas    |  1993  |
  Elizabeth Lada    |    University of Texas    |    University of Maryland    |  1993  |
  James Lowenthal    |    University of Arizona    |    University of California, Santa Cruz    |  1993  |
  Peter McCullough    |    University of California, Berkeley    |    University of Illinois    |  1993  |
  Dimitar Sasselov    |    University of Toronto    |    Center for Astrophysics    |  1993  |
  Didier Saumon    |    University of Rochester    |    University of Arizona, Lunar and Planetary Laboratory    |  1993  |
  Joseph Shields    |    University of California, Berkeley    |    University of Arizona/Steward Observatory    |  1993  |
  Marten van Kerwijk    |    Amsterdam    |    California Institute of Technology    |  1993  |
  Mark Voit    |    University of Colorado    |    The Johns Hopkins University     |  1993  |
  Stephen Zepf    |    The Johns Hopkins University    |    University of California, Berkeley    |  1993  |
  Matthew Bershady    |    University of Chicago    |    University of California, Santa Cruz    |  1992  |
  Yong-Ik Byun    |    Australian National University     |    University of Hawaii    |  1992  |
  Paul Green    |    University of Washington    |    Center for Astrophysics    |  1992  |
  Andrea Ghez    |    California Institute of Technology    |    University of Arizona    |  1992  |
  P. Guhathakurta    |    Princeton University    |    Princeton University     |  1992  |
