n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
21 | Meier, Mariel Jene | University of Colorado at Boulder | 2012 | female | 1 | 0 | 2012 | 2 | 27 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 11 |
22 | Manungu Kiveni, Joseph | Syracuse University | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
23 | Mancone, Conor L. | University of Florida | 2012 | male | 5 | 1 | 2013 | 14 | 5 | 2015 | 0 | 1 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 |  2 | 1 | 1 | 1 | 1 | 8 | 3 | 1 | 1 | 0 |
24 | Campiglia, Miguel | The Pennsylvania State University | 2012 | male | 3 | 11 | 2018 | 7 | 13 | 2018 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 3 | 3 | 1 |  1 | 0 | 1 | 3 | 0 | 2 | 1 | 3 | 3 | 1 |
25 | Spivak-Birndorf, Lev | Arizona State University | 2012 | male | 3 | 1 | 2015 | 5 | 1 | 2015 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 |
26 | Soto, Kurt Thomas | University of California, Santa Barbara | 2012 | male | 4 | 1 | 2016 | 4 | 10 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 4 | 5 |
27 | Mumpower, Matthew Ryan | North Carolina State University | 2012 | male | 4 | 5 | 2018 | 4 | 8 | 2018 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 2 |  0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 2 | 4 |
28 | Huan, Hao | The University of Chicago | 2012 | male | 2 | 0 | 2012 | 16 | 3 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 6 | 10 | 2 | 0 | 1 | 0 |
29 | Tao, Jianbao | University of Colorado at Boulder | 2012 | male | 4 | 1 | 2014 | 10 | 10 | 2018 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 0 |  1 | 1 | 3 | 0 | 3 | 2 | 3 | 5 | 0 | 2 |
30 | O'Malley, Patrick D. | Rutgers The State University of New Jersey - New Brunswick | 2012 | male | 2 | 0 | 2012 | 9 | 5 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 3 | 3 | 0 | 0 | 1 | 1 |
31 | Aune, Taylor | University of California, Santa Cruz | 2012 | None | 3 | 0 | 2012 | 47 | 27 | 2018 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 3 | 9 | 7 | 14 | 14 | 6 | 13 | 5 | 3 |
32 | Joudaki, Shahab | University of California, Irvine | 2012 | male | 5 | 4 | 2018 | 9 | 18 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 2 | 3 | 3 | 1 | 1 | 4 |
33 | Gardner-Vandy, Kathryn Gail | The University of Arizona | 2012 | female | 3 | 1 | 2013 | 3 | 3 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 |
34 | Heemskerk, Idse J. | University of California, Santa Barbara | 2012 | male | 2 | 0 | 2012 | 2 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |
35 | Niederhausen, Hans | State University of New York at Stony Brook | 2012 | male | 1 | 1 | 2018 | 1 | 63 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 9 | 9 | 14 | 15 |
36 | Gastler, Daniel E. | Boston University | 2012 | male | 1 | 0 | 2012 | 5 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 2 | 1 |
37 | Roustazadeh Sheikhyousefi, Parisa | Ohio University | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
38 | Orth, Christopher P. | Washington University in St. Louis | 2012 | male | 2 | 0 | 2012 | 5 | 0 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 |
39 | Nigra, Lou Michael | The University of Wisconsin - Madison | 2012 | female | 3 | 0 | 2012 | 5 | 0 | 2012 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 |
